Country_ID,ISO3_Code,Country,Region,Income_Level,Lending_Type,Capital,Latitude,Longitude,Continent
175,SMR,San Marino,Europe & Central Asia,High income,Not classified,San Marino,43.9322,12.4486,Europe
176,SOM,Somalia,Sub-Saharan Africa ,Low income,IDA,Mogadishu,2.07515,45.3254,Africa
177,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,Belgrade,44.8024,20.4656,Europe
178,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,Juba,4.85,31.6,Africa
179,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA,Sao Tome,0.20618,6.6071,Africa
180,SUR,Suriname,Latin America & Caribbean ,Upper middle income,Blend,Paramaribo,5.8232,-55.1679,South America
181,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,Bratislava,48.1484,17.1073,Europe
182,SVN,Slovenia,Europe & Central Asia,High income,Not classified,Ljubljana,46.0546,14.5044,Europe
183,SWE,Sweden,Europe & Central Asia,High income,Not classified,Stockholm,59.3327,18.0645,Europe
184,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,Blend,Mbabane,-26.5225,31.4659,Africa
185,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified,Philipsburg,18.0425,-63.0548,North America
186,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD,Victoria,-4.6309,55.4466,Africa
187,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA,Damascus,33.5146,36.3119,Asia
188,TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,Not classified,Grand Turk,21.4602778,-71.141389,North America
189,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,N'Djamena,12.1048,15.0445,Africa
190,TGO,Togo,Sub-Saharan Africa ,Low income,IDA,Lome,6.1228,1.2255,Africa
191,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,Bangkok,13.7308,100.521,Asia
192,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA,Dushanbe,38.5878,68.7864,Asia
193,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD,Ashgabat,37.9509,58.3794,Asia
194,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,Dili,-8.56667,125.567,Asia
195,TON,Tonga,East Asia & Pacific,Upper middle income,IDA,Nuku'alofa,-21.136,-175.216,Oceania
196,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD,Port-of-Spain,10.6596,-61.4789,North America
197,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,Tunis,36.7899,10.21,Africa
198,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,Ankara,39.7153,32.3606,Asia
